PASILLO,UBICACION,CODIGO,DESCRIPCION,CANTIDAD,FECHA,Index
A,"A1,17",4401591,ESTUCHE BOMB BARILOCHE,"1310,0",12/08/2024,291
A,"A1,17",4401788,DISPLAY BOMBON CREAM - BARILOCHE - 2023,"1470,0",12/08/2024,292
A,"A1,17",4401784,DISPLAY BARILOCHITO - DULCE DE LECHE - BCHE -2023,"1245,0",12/08/2024,293
A,"A1,17",4401590,"ESTUCHE BOMB BARILOCHE 241,5G","324,0",12/08/2024,294
A,"A1,17",4401774,ESTUCHE CONICO BARILOCHITO SURTIDO-BCHE-2023,"442,0",12/08/2024,295
A,"A1,17",,"",,,296
A,"A1,17",,"",,,297
A,"A1,17",,"",,,298
A,"A1,17",,"",,,299
A,"A1,17",,"",,,300
A,"A1,17",,"",,,301
A,"A1,17",,"",,,302
A,"A1,17",,"",,,303
A,"A1,17",,"",,,304
A,"A1,17",,"",,,305
A,"A1,17",,"",,,306
A,"A1,18",4401520,CUNA BANDEJA MIX BARILOCHE PREMIUN IN 12030,"2250,0",12/08/2024,307
A,"A1,18",4401521,CUNA BANDEJA ALMENDRAS MIX BCHE PREM IN 12031,"1800,0",12/08/2024,308
A,"A1,18",,"",,,309
A,"A1,18",,"",,,310
A,"A1,18",,"",,,311
A,"A1,18",,"",,,312
A,"A1,18",,"",,,313
A,"A1,18",,"",,,314
A,"A1,18",,"",,,315
A,"A1,18",,"",,,316
A,"A1,18",,"",,,317
A,"A1,18",,"",,,318
A,"A1,18",,"",,,319
A,"A1,18",,"",,,320
A,"A1,18",,"",,,321
A,"A1,18",,"",,,322
A,"A1,18",,"",,,323
A,"A1,18",,"",,,324
A,"A1,19",,"",,,325
A,"A1,19",,"",,,326
A,"A1,19",,"",,,327
A,"A1,19",,"",,,328
A,"A1,19",,"",,,329
A,"A1,19",,"",,,330
A,"A1,19",,"",,,331
A,"A1,19",,"",,,332
A,"A1,19",,"",,,333
A,"A1,19",,"",,,334
A,"A1,19",,"",,,335
A,"A1,19",,"",,,336
A,"A1,19",,"",,,337
A,"A1,19",,"",,,338
A,"A1,19",,"",,,339
A,"A1,19",,"",,,340
A,"A1,19",,"",,,341
A,"A1,19",,"",,,342
A,"A1,20",4400601,CAJA  MANÍ COLOR  X 120 G BAR. COD 16206,"1050,0",26/08/2024,343
A,"A1,20",,"",,,344
A,"A1,20",,"",,,345
A,"A1,20",,"",,,346
A,"A1,20",,"",,,347
A,"A1,20",,"",,,348
A,"A1,20",,"",,,349
A,"A1,20",,"",,,350
A,"A1,20",,"",,,351
A,"A1,20",,"",,,352
A,"A1,20",,"",,,353
A,"A1,20",,"",,,354
A,"A1,20",,"",,,355
A,"A1,20",,"",,,356
A,"A1,20",,"",,,357
A,"A1,20",,"",,,358
A,"A1,20",,"",,,359
A,"A1,20",,"",,,360
A,"A1,21",,"",,,361
